PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2020,FuelCostsPerPeriod,1860430779.3529892,657718769.3649267,annual
2020,GenVariableOMCostsInTP,312632960.71094596,110525244.1873854,timepoint
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2020,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2020,StorageEnergyFixedCost,8924052.95377447,3154923.683075838,annual
2020,TotalGenCapitalCostsSubsidy,-34413574.51842838,-12166243.502798103,annual
2020,TotalGenFixedCosts,1283688877.1646347,453822995.13975817,annual
2020,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2023,FuelCostsPerPeriod,1003797416.9358908,573239567.1443772,annual
2023,GenVariableOMCostsInTP,185584021.27292195,105981647.5202158,timepoint
2023,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2023,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2023,StorageEnergyFixedCost,67645073.61210343,38630137.97666333,annual
2023,TotalGenCapitalCostsSubsidy,-27469578.941891395,-15687079.162202915,annual
2023,TotalGenFixedCosts,895677342.5105157,511495331.0888483,annual
2023,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2025,FuelCostsPerPeriod,1974079648.3612216,499704296.2369668,annual
2025,GenVariableOMCostsInTP,381249693.8264085,96506800.06869924,timepoint
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2025,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2025,StorageEnergyFixedCost,214948261.00957388,54410453.79517267,annual
2025,TotalGenCapitalCostsSubsidy,-78124860.79844049,-19775964.26583098,annual
2025,TotalGenFixedCosts,2279595779.1017737,577040447.9102215,annual
2025,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2030,FuelCostsPerPeriod,668898120.9743338,196288344.2425045,annual
2030,GenVariableOMCostsInTP,260686434.56408554,76498508.52104543,timepoint
2030,Pumped_Hydro_Fixed_Cost_Annual,121629291.649538,35692150.30010912,annual
2030,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2030,StorageEnergyFixedCost,279763499.466183,82096678.65371828,annual
2030,TotalGenCapitalCostsSubsidy,-97645491.19393578,-28654097.220792092,annual
2030,TotalGenFixedCosts,2491374797.9710574,731094644.5310876,annual
2030,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2035,FuelCostsPerPeriod,608185211.6023558,206898105.9715647,annual
2035,GenVariableOMCostsInTP,223580252.41720733,76059611.24225627,timepoint
2035,Pumped_Hydro_Fixed_Cost_Annual,104918495.41531491,35692150.30010912,annual
2035,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2035,StorageEnergyFixedCost,254379037.40600976,86537028.57968237,annual
2035,TotalGenCapitalCostsSubsidy,-85945466.68523045,-29237728.795093767,annual
2035,TotalGenFixedCosts,2227570447.293536,757795647.8899012,annual
2035,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2040,FuelCostsPerPeriod,547605774.1008152,215960737.30189586,annual
2040,GenVariableOMCostsInTP,192734200.8352223,76009096.47823292,timepoint
2040,Pumped_Hydro_Fixed_Cost_Annual,90503615.78962027,35692150.30010912,annual
2040,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2040,StorageEnergyFixedCost,193837498.40565118,76444206.85880634,annual
2040,TotalGenCapitalCostsSubsidy,-79597598.94728239,-31391115.596511252,annual
2040,TotalGenFixedCosts,1963008426.0770283,774156824.2620145,annual
2040,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2045,FuelCostsPerPeriod,331030038.5389099,151342293.38577852,annual
2045,GenVariableOMCostsInTP,134686940.31351733,61576981.12875405,timepoint
2045,Pumped_Hydro_Fixed_Cost_Annual,78069213.99865575,35692150.30010912,annual
2045,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2045,StorageEnergyFixedCost,198279791.00584015,90650741.04853326,annual
2045,TotalGenCapitalCostsSubsidy,-82490106.53637475,-37713320.39821737,annual
2045,TotalGenFixedCosts,1728385282.458611,790193523.3915831,annual
2045,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2050,FuelCostsPerPeriod,52281375.45825462,27709330.619832743,annual
2050,GenVariableOMCostsInTP,526974.1374846942,279298.3251812876,timepoint
2050,Pumped_Hydro_Fixed_Cost_Annual,67343189.78520758,35692150.30010912,annual
2050,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2050,StorageEnergyFixedCost,163484233.61046222,86647274.30247878,annual
2050,TotalGenCapitalCostsSubsidy,-51375503.05111359,-27229214.75048464,annual
2050,TotalGenFixedCosts,1953250274.028124,1035230178.0878025,annual
2050,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
