load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,GeneratePumpedHydro,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand,StorePumpedHydro
Oahu,2020-01-12 00:00,735.426,0,0,673.598,0,0.593181,61.2339,0
Oahu,2020-01-12 02:00,747.639,0,0,625.633,0,16.0487,105.957,0
Oahu,2020-01-12 04:00,742.61,0,0,679.688,0,0.431732,62.4906,0
Oahu,2020-01-12 06:00,818.901,0,0,909.31,0,0.522084,-90.931,0
Oahu,2020-01-12 08:00,928.237,0,0,990.328,0,0.797813,-62.8891,0
Oahu,2020-01-12 10:00,1110.32,0,0,1040.2,0,1.37076,68.745,0
Oahu,2020-01-12 12:00,1103.4,0,0,1042.7,27.4,1.57161,31.7331,0
Oahu,2020-01-12 14:00,1158.63,0,0,1030.51,0,1.91641,126.205,0
Oahu,2020-01-12 16:00,986.857,0,0,1003.21,8.09,3.32555,-27.7691,0
Oahu,2020-01-12 18:00,947.031,0,0,1048.56,0,3.32555,-104.856,0
Oahu,2020-01-12 20:00,860.42,0,0,952.594,0,3.08513,-95.2594,0
Oahu,2020-01-12 22:00,737.07,0,0,810.957,0,0.773159,-74.6594,0
Oahu,2020-01-19 00:00,772.491,0,0,640.244,0,0.593181,131.654,0
Oahu,2020-01-19 02:00,771.461,0,0,593.358,0,0.429723,177.674,0
Oahu,2020-01-19 04:00,751.164,0,0,655.093,16.55,0.431732,79.0894,0
Oahu,2020-01-19 06:00,796.56,0,0,884.486,0,0.522084,-88.4486,0
Oahu,2020-01-19 08:00,862.551,0,0,954.249,0,0.797813,-92.4956,0
Oahu,2020-01-19 10:00,1032.72,0,0,995.567,0.597068,1.37076,35.1888,0
Oahu,2020-01-19 12:00,1097.85,0,0,1010.23,0,1.57161,86.0483,0
Oahu,2020-01-19 14:00,1065.24,0,0,1006.84,31.941,1.91641,24.5417,0
Oahu,2020-01-19 16:00,907.239,0,0,983.535,0,18.9446,-95.24,0
Oahu,2020-01-19 18:00,931.889,0,0,1031.74,0,3.32555,-103.174,0
Oahu,2020-01-19 20:00,849.582,0,0,940.552,0,3.08513,-94.0552,0
Oahu,2020-01-19 22:00,738.659,0,0,798.668,0,0.773159,-60.7826,0
Oahu,2020-02-12 00:00,642.745,0,0,583.986,25,16.9011,16.8582,0
Oahu,2020-02-12 02:00,636.769,0,0,548.236,25.33,0.429723,62.7734,0
Oahu,2020-02-12 04:00,620.405,0,0,618.556,20.65,0.431732,-19.2335,0
Oahu,2020-02-12 06:00,762.879,0,0,847.063,0,0.522084,-84.7063,0
Oahu,2020-02-12 08:00,824.037,0,0,914.074,0,1.37076,-91.4074,0
Oahu,2020-02-12 10:00,1108.02,0,0,956.763,20.54,1.37076,129.343,0
Oahu,2020-02-12 12:00,1127.22,0,0,974.081,0,1.57161,151.57,0
Oahu,2020-02-12 14:00,1141.12,0,0,977.281,14.95,1.91641,146.977,0
Oahu,2020-02-12 16:00,936.844,0,0,971.466,0,2.06371,-36.6857,0
Oahu,2020-02-12 18:00,946.29,0,0,1047.74,0,3.32555,-104.774,0
Oahu,2020-02-12 20:00,855.589,0,0,947.227,0,3.08513,-94.7227,0
Oahu,2020-02-12 22:00,684.701,0,0,759.919,0,0.773159,-75.9919,0
Oahu,2020-02-20 00:00,723.748,0,0,640.175,0,0.593181,82.9797,0
Oahu,2020-02-20 02:00,724.776,0,0,596.007,0,17.3106,111.459,0
Oahu,2020-02-20 04:00,723.743,0,0,658.244,20,0.431732,45.067,0
Oahu,2020-02-20 06:00,788.855,0,0,875.926,0,0.522084,-87.5926,0
Oahu,2020-02-20 08:00,970.87,0,0,962.432,0,0.797813,7.64051,0
Oahu,2020-02-20 10:00,1112.87,0,0,1015.1,27.2888,1.37076,69.1166,0
Oahu,2020-02-20 12:00,1171.58,0,0,1033.11,0,1.57161,136.898,0
Oahu,2020-02-20 14:00,1058.2,0,0,1037.52,0,1.91641,18.7605,0
Oahu,2020-02-20 16:00,928.582,0,0,1029.47,0,2.06371,-102.947,0
Oahu,2020-02-20 18:00,967.304,0,0,1071.09,0,3.32555,-107.109,0
Oahu,2020-02-20 20:00,873.548,0,0,967.181,0,3.08513,-96.7181,0
Oahu,2020-02-20 22:00,728.353,0,0,775.552,29.5828,0.773159,-77.5552,0
Oahu,2020-04-10 00:00,724.417,0,0,619.596,0,0.593181,104.227,0
Oahu,2020-04-10 02:00,727.178,0,0,586.944,0,0.429723,139.804,0
Oahu,2020-04-10 04:00,728.502,0,0,663.142,0,0.431732,64.9283,0
Oahu,2020-04-10 06:00,795.757,0,0,883.594,0,0.522084,-88.3594,0
Oahu,2020-04-10 08:00,882.143,0,0,965.35,0,13.3274,-96.535,0
Oahu,2020-04-10 10:00,1052.49,0,0,1007.58,0,1.37076,43.5407,0
Oahu,2020-04-10 12:00,1107.4,0,0,999.09,0,5.92287,102.392,0
Oahu,2020-04-10 14:00,1018.69,0,0,1017.9,21.2162,1.91641,-22.349,0
Oahu,2020-04-10 16:00,1003.38,0,0,1011.49,6.04592,2.06371,-16.2184,0
Oahu,2020-04-10 18:00,963.071,0,0,1066.38,0,3.32555,-106.638,0
Oahu,2020-04-10 20:00,891.14,0,0,986.728,0,3.08513,-98.6728,0
Oahu,2020-04-10 22:00,768.071,0,0,793.417,0,0.773159,-26.1187,0
Oahu,2020-05-02 00:00,770.296,0,0,652.432,0,0.593181,117.271,0
Oahu,2020-05-02 02:00,676.912,0,0,611.79,0,0.429723,64.6915,0
Oahu,2020-05-02 04:00,657.49,0,0,659.856,0,0.431732,-2.79799,0
Oahu,2020-05-02 06:00,802.065,0,0,890.603,0,0.522084,-89.0603,0
Oahu,2020-05-02 08:00,986.869,0,0,980.892,7.94413,0.797813,-2.76498,0
Oahu,2020-05-02 10:00,1189.9,0,0,1026.74,31.941,1.37076,129.849,0
Oahu,2020-05-02 12:00,1121.78,0,0,1044.48,0,6.74857,70.5471,0
Oahu,2020-05-02 14:00,1136.27,0,0,1046.16,0,1.91641,88.1943,0
Oahu,2020-05-02 16:00,948.083,0,0,1027.06,12.004,2.06371,-93.041,0
Oahu,2020-05-02 18:00,940.085,0,0,1040.84,0,3.32555,-104.084,0
Oahu,2020-05-02 20:00,890.019,0,0,985.482,0,3.08513,-98.5482,0
Oahu,2020-05-02 22:00,765.063,0,0,802.563,30.2791,12.477,-80.2563,0
Oahu,2020-06-17 00:00,765.464,0,0,700.107,0,0.593181,64.7635,0
Oahu,2020-06-17 02:00,761.3,0,0,652.388,0,0.429723,108.482,0
Oahu,2020-06-17 04:00,747.027,0,0,706.753,0,0.431732,39.8427,0
Oahu,2020-06-17 06:00,804.256,0,0,893.037,0,0.522084,-89.3037,0
Oahu,2020-06-17 08:00,1007.79,0,0,1016.47,0,16.4168,-25.0993,0
Oahu,2020-06-17 10:00,1147.13,0,0,1070.04,0,1.37076,75.7262,0
Oahu,2020-06-17 12:00,1194.25,0,0,1085.74,23.2113,1.57161,83.7337,0
Oahu,2020-06-17 14:00,1190.91,0,0,1080.62,31.941,1.91641,76.4251,0
Oahu,2020-06-17 16:00,1019.54,0,0,1060.32,0,3.32555,-44.1096,0
Oahu,2020-06-17 18:00,946.516,0,0,1047.99,0,3.32555,-104.799,0
Oahu,2020-06-17 20:00,921.172,0,0,1020.1,0,3.08513,-102.01,0
Oahu,2020-06-17 22:00,753.668,0,0,836.516,0.0296984,0.773159,-83.6516,0
Oahu,2020-08-18 00:00,779.406,0,0,699.457,0,0.593181,79.3563,0
Oahu,2020-08-18 02:00,778.777,0,0,658.588,2.2,0.429723,117.559,0
Oahu,2020-08-18 04:00,748.155,0,0,711.298,0,0.431732,36.4251,0
Oahu,2020-08-18 06:00,833.158,0,0,925.151,0,0.522084,-92.5151,0
