period,variable,value
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0
2020,Pumped_Hydro_Net_Load,0.0
2020,co2_emissions,4681835.748556007
2020,ev_load,24646.045539869963
2020,gross_load,7888120.377966968
2023,Pumped_Hydro_Fixed_Cost_Annual,0.0
2023,Pumped_Hydro_Net_Load,0.0
2023,co2_emissions,3625118.979280858
2023,ev_load,44094.82351228483
2023,gross_load,7707564.314963505
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0
2025,Pumped_Hydro_Net_Load,0.0
2025,co2_emissions,2930746.3893609303
2025,ev_load,63752.443874236254
2025,gross_load,7602355.614376822
2030,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2030,Pumped_Hydro_Net_Load,-24822.863286176318
2030,co2_emissions,1051579.466002511
2030,ev_load,145082.01493871113
2030,gross_load,7310770.447718689
2035,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2035,Pumped_Hydro_Net_Load,-19151.99074347659
2035,co2_emissions,1019647.1575226865
2035,ev_load,287956.64512725675
2035,gross_load,7463584.264936345
2040,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2040,Pumped_Hydro_Net_Load,-14098.42103528386
2040,co2_emissions,984490.5038200386
2040,ev_load,523472.7018844187
2040,gross_load,7721999.887742215
2045,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2045,Pumped_Hydro_Net_Load,-25983.83524660354
2045,co2_emissions,0.0
2045,ev_load,925893.4814995897
2045,gross_load,7910462.92474171
2050,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2050,Pumped_Hydro_Net_Load,-57500.285674560815
2050,co2_emissions,0.0
2050,ev_load,1332541.3368219668
2050,gross_load,7910462.92474171
