owner,variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
HECO,amortized_cost,52693695.47694349,52693695.47694349,52693695.47694349,52693695.47694349,49441964.813967675,49441964.813967675,49441964.813967675,45643670.195481665,45643670.195481665,45643670.195481665,45643670.195481665,45643670.195481665,39684641.17400361,39684641.17400361,39684641.17400361,39684641.17400361,33942331.98953991,33942331.98953991,33942331.98953991,33942331.98953991,27927899.18615419,27927899.18615419,27927899.18615419,27927899.18615419,27927899.18615419,18479589.904055603,18479589.904055603,18479589.904055603,7875120.174424356,7875120.174424356
HECO,capacity_in_place,1247.14,1247.14,1247.14,1247.14,1153.94,1153.94,1153.94,1045.94,1045.94,1045.94,1045.94,1045.94,876.9399999999999,876.9399999999999,876.9399999999999,876.9399999999999,712.74,712.74,712.74,712.74,541.3399999999999,541.3399999999999,541.3399999999999,541.3399999999999,541.3399999999999,272.64,272.64,272.64,223.8,223.8
HECO,capacity_retired,0.0,0.0,0.0,0.0,93.2,0.0,0.0,108.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,164.2,0.0,0.0,0.0,171.39999999999998,0.0,0.0,0.0,0.0,268.70000000000005,0.0,0.0,48.84,0.0
HECO,fixed_om,15928523.03764372,15928523.03764372,15928523.03764372,15928523.03764372,14933988.245362315,14933988.245362315,14933988.245362315,13781523.035422489,13781523.035422489,13781523.035422489,13781523.035422489,13781523.035422489,11978128.401349984,11978128.401349984,11978128.401349984,11978128.401349984,10225954.443274805,10225954.443274805,10225954.443274805,10225954.443274805,8396949.471203638,8396949.471203638,8396949.471203638,8396949.471203638,8396949.471203638,5529658.712770016,5529658.712770016,5529658.712770016,3707896.811280991,3707896.811280991
HECO,fuel_cost,379857167.0578978,359294083.45159733,354999052.0741009,359229702.74214756,310636589.19227636,262984055.6290878,202873019.0238849,150585304.69309112,105210056.69715576,64476441.193737805,30137673.43994929,30206204.668559685,29632510.1882267,27526243.576170474,23957301.742522582,24570684.512947097,27054094.456452712,25124049.860194072,26945772.37961865,25150575.690570615,27971276.288454674,25127759.456186935,25826890.197598044,21963117.086174622,16858296.054662503,35739730.415150315,31969021.016132295,20015569.44742727,12104360.24824386,7887974.482816032
HECO,non_renewable_output,2926855.5998922447,2897560.903533335,2741565.5733397165,2966087.1231258097,2506235.8290533954,2065090.1084404378,1544116.6106736532,1118179.7976448913,741806.1611759184,447164.26549346244,205271.3912858143,195708.35626759997,194178.21517659933,179394.52173478075,157111.96948416188,160782.3752049274,168710.2541116426,156079.28528002402,161219.04317734574,152749.76331904565,159341.012320804,140090.59413694736,135606.8945653221,122649.51035573611,95982.55991692287,3.2463104495559413e-13,4.708933838916322e-12,3.1464239741849966e-12,1.7979565566771398e-12,-8.040861267361649e-11
HECO,renewable_output,-6.6144823990644526e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.8082067386893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.1181721596095,0.0,0.0,0.0,347.7522438651272,922.9194339226996,696.9650995042539,0.0,103000.97166437427,98501.25969738662,59749.12434663003,30196.495185694643,19486.883081155516
HECO,total_output,2926855.5998922377,2897560.903533335,2741565.5733397165,2966087.1231258097,2506235.8290533954,2065090.1084404378,1544116.6106736532,1118179.7976448913,742540.9693826571,447164.26549346244,205271.3912858143,195708.35626759997,194178.21517659933,179394.52173478075,157111.96948416188,160782.3752049274,168710.2541116426,157470.40345218364,161219.04317734574,152749.76331904565,159341.012320804,140438.34638081247,136529.8139992448,123346.47545524036,95982.55991692287,103000.97166437427,98501.2596973866,59749.12434663004,30196.495185694643,19486.883081155436
HECO,variable_om,30643109.919017315,30336405.139798578,28703190.96614667,31053849.64897909,26239374.43155389,21620739.741292868,16166337.358903304,11706934.380267516,7792085.534203793,4681646.658576979,2149116.549047523,2048995.0626191031,2032975.043850544,1878195.1691059947,1644904.9794850582,1683332.7877967996,1766334.7865192776,1681721.8693524231,1687904.5420977024,1599234.2730067484,1649028.1832748977,1469392.8424287636,1452124.5472399008,1308569.291943442,1004902.3716616642,1286674.2524791015,1636249.9475653751,892501.9752378819,148856.29677256272,77266.28357769916
PPA,amortized_cost,124620546.26641914,128798130.0716744,167912784.99680892,193864676.06857824,241514246.77724242,258411462.8594792,287619132.53052735,316126606.6660176,343951918.68598056,371093616.7156619,397533873.486482,399286110.3200883,401018015.8113349,402729358.5046097,404421807.3149073,406095386.1091026,410996934.579489,407683885.3739667,398397992.8601935,394864297.8256366,399530836.28147745,402795841.1602465,397282929.0654217,411364013.7496618,447161568.8505661,482457815.32479864,545573167.8731549,600431299.3403506,661367837.9554697,718233278.1737498
