PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2020,FuelCostsPerPeriod,660027469.1506797,679828293.2252004,annual
2020,GenVariableOMCostsInTP,107434425.84363651,110657458.61894566,timepoint
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2020,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2020,StorageEnergyFixedCost,3063032.7020153753,3154923.683075838,annual
2020,TotalGenCapitalCostsSubsidy,-11811886.895920482,-12166243.502798101,annual
2020,TotalGenFixedCosts,440604849.6502505,453822995.1397582,annual
2020,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2021,FuelCostsPerPeriod,567522946.7832755,602085094.2423773,annual
2021,GenVariableOMCostsInTP,103888203.97027054,110214995.59206007,timepoint
2021,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2021,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2021,StorageEnergyFixedCost,4121663.866355495,4372673.195816547,annual
2021,TotalGenCapitalCostsSubsidy,-13232815.925742952,-14038694.415620705,annual
2021,TotalGenFixedCosts,440221388.3420172,467030870.8920462,annual
2021,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2022,FuelCostsPerPeriod,492840425.92042935,538540040.0947533,annual
2022,GenVariableOMCostsInTP,99082621.36658813,108270255.5980478,timepoint
2022,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2022,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2022,StorageEnergyFixedCost,16157793.019210877,17656056.69250325,annual
2022,TotalGenCapitalCostsSubsidy,-14528424.65270983,-15875601.885481661,annual
2022,TotalGenFixedCosts,464425737.57134175,507490542.9391198,annual
2022,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2023,FuelCostsPerPeriod,503090035.9617934,566232267.6982156,annual
2023,GenVariableOMCostsInTP,94151215.0485043,105968022.00929621,timepoint
2023,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2023,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2023,StorageEnergyFixedCost,35080038.11182234,39482891.94999182,annual
2023,TotalGenCapitalCostsSubsidy,-15594845.896902466,-17552136.447556086,annual
2023,TotalGenFixedCosts,456227554.21837026,513488131.63752866,annual
2023,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2024,FuelCostsPerPeriod,450758329.18381786,522552444.7975854,annual
2024,GenVariableOMCostsInTP,87255938.03428242,101153546.79187097,timepoint
2024,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2024,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2024,StorageEnergyFixedCost,48250410.82483497,55935450.3435553,annual
2024,TotalGenCapitalCostsSubsidy,-17089527.907104004,-19811446.644732025,annual
2024,TotalGenFixedCosts,478659000.41577363,554896969.6123596,annual
2024,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2025,FuelCostsPerPeriod,402008743.42460144,480019463.31088316,annual
2025,GenVariableOMCostsInTP,80846469.10543878,96534912.10161008,timepoint
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2025,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2025,StorageEnergyFixedCost,47128168.55716385,56273497.89688733,annual
2025,TotalGenCapitalCostsSubsidy,-18164124.939386282,-21688915.098313887,annual
2025,TotalGenFixedCosts,486302432.31366104,580670536.1117659,annual
2025,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2026,FuelCostsPerPeriod,343108422.8699329,421980082.2948755,annual
2026,GenVariableOMCostsInTP,74040439.92055613,91060402.04285228,timepoint
2026,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2026,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2026,StorageEnergyFixedCost,50877358.661519565,62572733.759650595,annual
2026,TotalGenCapitalCostsSubsidy,-19217306.46212167,-23634862.981623925,annual
2026,TotalGenFixedCosts,499988724.8706005,614923065.7254577,annual
2026,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2027,FuelCostsPerPeriod,285208126.79626435,361293121.99411356,annual
2027,GenVariableOMCostsInTP,68289869.4316177,86507563.4578401,timepoint
2027,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2027,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2027,StorageEnergyFixedCost,54244592.414686754,68715426.74799085,annual
2027,TotalGenCapitalCostsSubsidy,-20159792.410808418,-25537821.87299724,annual
2027,TotalGenFixedCosts,508217050.3422507,643794154.2246275,annual
2027,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2028,FuelCostsPerPeriod,241983125.55154777,315733093.158845,annual
2028,GenVariableOMCostsInTP,63272608.10961915,82556402.33236791,timepoint
2028,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2028,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2028,StorageEnergyFixedCost,57239978.88443122,74685189.4913581,annual
2028,TotalGenCapitalCostsSubsidy,-20999661.72308793,-27399795.485770576,annual
2028,TotalGenFixedCosts,518968017.4395304,677135552.4201274,annual
2028,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2029,FuelCostsPerPeriod,197830913.77337077,265868205.36064783,annual
2029,GenVariableOMCostsInTP,59041423.98007984,79346736.74663016,timepoint
2029,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2029,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2029,StorageEnergyFixedCost,59883671.44254923,80478646.9069038,annual
2029,TotalGenCapitalCostsSubsidy,-21742887.39213629,-29220622.50052678,annual
2029,TotalGenFixedCosts,528312297.70373726,710007550.2929809,annual
2029,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2030,FuelCostsPerPeriod,136811224.400975,189378730.71111247,annual
2030,GenVariableOMCostsInTP,55276426.93429197,76515502.41507202,timepoint
2030,Pumped_Hydro_Fixed_Cost_Annual,25784768.78435971,35692150.30010912,annual
2030,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2030,StorageEnergyFixedCost,62195350.69877892,86092911.03883515,annual
2030,TotalGenCapitalCostsSubsidy,-22393847.430870015,-30998322.109645903,annual
2030,TotalGenFixedCosts,536247600.5018709,742292091.7094014,annual
