period,variable,value
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0
2020,Pumped_Hydro_Net_Load,0.0
2020,co2_emissions,4681755.321265581
2020,ev_load,24646.04553986998
2020,gross_load,7888120.377966969
2021,Pumped_Hydro_Fixed_Cost_Annual,0.0
2021,Pumped_Hydro_Net_Load,-9.285201939434709e-09
2021,co2_emissions,4666367.28386542
2021,ev_load,29991.35328218653
2021,gross_load,7843038.015405222
2022,Pumped_Hydro_Fixed_Cost_Annual,0.0
2022,Pumped_Hydro_Net_Load,0.0
2022,co2_emissions,4599256.498794672
2022,ev_load,36433.74446320799
2022,gross_load,7767505.46206884
2023,Pumped_Hydro_Fixed_Cost_Annual,0.0
2023,Pumped_Hydro_Net_Load,0.0
2023,co2_emissions,3623301.3462001295
2023,ev_load,44094.82351228485
2023,gross_load,7707564.314963505
2024,Pumped_Hydro_Fixed_Cost_Annual,0.0
2024,Pumped_Hydro_Net_Load,0.0
2024,co2_emissions,3266269.3788291733
2024,ev_load,53151.709924340445
2024,gross_load,7674602.731700823
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0
2025,Pumped_Hydro_Net_Load,0.0
2025,co2_emissions,2929637.0745076756
2025,ev_load,63752.44387423625
2025,gross_load,7602355.614376825
2026,Pumped_Hydro_Fixed_Cost_Annual,0.0
2026,Pumped_Hydro_Net_Load,0.0
2026,co2_emissions,2519247.650387329
2026,ev_load,76018.62979132266
2026,gross_load,7554184.368303465
2027,Pumped_Hydro_Fixed_Cost_Annual,0.0
2027,Pumped_Hydro_Net_Load,0.0
2027,co2_emissions,2122747.620258151
2027,ev_load,90108.88214866567
2027,gross_load,7503063.13190818
2028,Pumped_Hydro_Fixed_Cost_Annual,0.0
2028,Pumped_Hydro_Net_Load,0.0
2028,co2_emissions,1816021.2765593587
2028,ev_load,106216.18188849476
2028,gross_load,7468946.566598369
2029,Pumped_Hydro_Fixed_Cost_Annual,0.0
2029,Pumped_Hydro_Net_Load,0.0
2029,co2_emissions,1500158.5153019126
2029,ev_load,124493.85633477394
2029,gross_load,7373346.447925143
2030,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2030,Pumped_Hydro_Net_Load,-28486.429576716106
2030,co2_emissions,1053924.1558171627
2030,ev_load,145082.01493871113
2030,gross_load,7310770.447718692
2031,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2031,Pumped_Hydro_Net_Load,-29682.607454626253
2031,co2_emissions,1029809.3622381267
2031,ev_load,168126.05430061708
2031,gross_load,7296741.7562153805
2032,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2032,Pumped_Hydro_Net_Load,-28316.639108007454
2032,co2_emissions,1037055.2530615999
2032,ev_load,193776.6581699033
2032,gross_load,7358931.942006009
2033,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2033,Pumped_Hydro_Net_Load,-26144.17602055508
2033,co2_emissions,1016317.1757403569
2033,ev_load,222195.0845941878
2033,gross_load,7377385.618992195
2034,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2034,Pumped_Hydro_Net_Load,-18529.91878510245
2034,co2_emissions,1015504.0207355197
2034,ev_load,253526.7301737802
2034,gross_load,7420389.506109184
2035,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2035,Pumped_Hydro_Net_Load,-18114.608574490485
2035,co2_emissions,1018195.2150002897
2035,ev_load,287956.6451272571
2035,gross_load,7463584.264936349
2036,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2036,Pumped_Hydro_Net_Load,-14116.212199203392
2036,co2_emissions,1020259.8228809219
2036,ev_load,321548.5469480367
2036,gross_load,7531210.649174263
2037,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2037,Pumped_Hydro_Net_Load,-12652.663900879761
2037,co2_emissions,989065.258928771
2037,ev_load,360454.03361651994
2037,gross_load,7556400.080635157
2038,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2038,Pumped_Hydro_Net_Load,-15673.762843211596
2038,co2_emissions,985458.8020433257
2038,ev_load,406587.0531076994
2038,gross_load,7608378.204228518
2039,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2039,Pumped_Hydro_Net_Load,-12740.95606739225
2039,co2_emissions,974278.8178755053
2039,ev_load,460669.30127402564
2039,gross_load,7655817.63351199
2040,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2040,Pumped_Hydro_Net_Load,-12600.078888824817
2040,co2_emissions,986518.5078443126
2040,ev_load,523472.70188441913
2040,gross_load,7721999.8877422195
2041,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2041,Pumped_Hydro_Net_Load,-16001.484586854522
2041,co2_emissions,920592.154045516
2041,ev_load,597072.4609614885
2041,gross_load,7742310.303309727
2042,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2042,Pumped_Hydro_Net_Load,-19836.942394088328
2042,co2_emissions,869748.6084278327
2042,ev_load,672734.2081884132
2042,gross_load,7789115.387156123
2043,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2043,Pumped_Hydro_Net_Load,-23350.177189812453
2043,co2_emissions,829680.7906084429
2043,ev_load,751343.5410398107
2043,gross_load,7831381.776692631
2044,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2044,Pumped_Hydro_Net_Load,-25143.14523903719
2044,co2_emissions,766899.0713091302
2044,ev_load,835166.0029059693
2044,gross_load,7893247.073476406
2045,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2045,Pumped_Hydro_Net_Load,-26021.134104004697
2045,co2_emissions,0.0
2045,ev_load,925893.4814995899
2045,gross_load,7910462.924741712
2046,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2046,Pumped_Hydro_Net_Load,-23213.456459331544
2046,co2_emissions,0.0
2046,ev_load,1019690.150147035
2046,gross_load,7910462.924741712
2047,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2047,Pumped_Hydro_Net_Load,-33469.8800742441
2047,co2_emissions,0.0
2047,ev_load,1114240.2375415422
